original,standard
中国航空研究院623所,中国航空工业集团有限公司(623所)
中国航空研究院623研究所,中国航空工业集团有限公司(623所)
中国航空研究院624所,中国航空工业集团有限公司(624所)
中国航空研究院624研究所,中国航空工业集团有限公司(624所)
中国航空制造技术研究院,中国航空工业集团有限公司(625所)
中国航空研究院626研究所,中国航空工业集团有限公司(626所)
中国飞行试验研究院,中国航空工业集团有限公司(630所)
中国航空研究院631研究所,中国航空工业集团有限公司(631所)
中国航空研究院640所,中国航空工业集团有限公司(640所)
中国航空研究院640研究所,中国航空工业集团有限公司(640所)
中国航空研究院第640研究所,中国航空工业集团有限公司(640所)
中国航空研究院,中国航空工业集团有限公司(中国航空研究院)
中国舰船研究设计中心(701所),中国船舶集团有限公司(701所)
中国舰船研究设计中心,中国船舶集团有限公司(701所)
中国船舶科学研究中心,中国船舶集团有限公司(702所)
哈尔滨船舶锅炉涡轮机研究所,中国船舶集团有限公司(703所)
中国舰船研究院（上海船舶设备研究所）,中国船舶集团有限公司(704所)
上海船舶设备研究所,中国船舶集团有限公司(704所)
中国船舶及海洋工程设计研究院,中国船舶集团有限公司(708所)
杭州应用声学研究所,中国船舶集团有限公司(715所)
江苏自动化研究所,中国船舶集团有限公司(716所)
武汉第二船舶设计研究所,中国船舶集团有限公司(719所)
中国舰船研究院,中国船舶集团有限公司(7院)
中国计量学院,中国计量大学
工业和信息化部计算机与微电子发展研究中心（中国软件评测中心）,中国软件评测中心
临沂师范学院,临沂大学
美国亚利桑那州立大学,亚利桑那州立大学
伊犁师范学院,伊犁师范大学
佛山科学技术学院,佛山大学
西北师范大学知行学院,兰州石化职业技术大学
内蒙古财经大学财政税务学院,内蒙古财经大学
内蒙古财经学院,内蒙古财经大学
北京师范大学(跨校),北京师范大学
北京师范(珠海）,北京师范大学(珠海)
北京师范大学珠海分校,北京师范大学(珠海)
华北水利水电学院,华北水利水电大学
河北理工大学,华北理工大学
河北联合大学,华北理工大学
华北电力大学(北京),华北电力大学
华北电力大学（北京）,华北电力大学
华北电力大学（保定）,华北电力大学(保定)
美国华盛顿大学,华盛顿大学
南京审计学院,南京审计大学
南京邮电学院,南京邮电大学
新加坡南洋理工大学,南洋理工大学
美国卡内基梅隆大学,卡内基梅隆大学
合肥学院,合肥大学
吉林化工学院,吉林化工大学
吉林建筑工程学院,吉林建筑大学
哈尔滨工业大学（威海校区）,哈尔滨工业大学(威海校区)
哈尔滨工业大学深圳校区,哈尔滨工业大学(深圳)
哈尔滨工业大学深圳研究生院,哈尔滨工业大学(深圳)
四川理工学院,四川轻化工大学
大理学院,大理大学
大连民族学院,大连民族大学
天水师范学院,天水师范大学
天津城市建设学院,天津城建大学
太原科技大学研究生院,太原科技大学
新西兰奥克兰大学,奥克兰大学
山东大学威海分校,山东大学(威海)
山东大学威海校区,山东大学(威海)
山东大学（威海）,山东大学(威海)
滨州学院,山东航空学院
香港岭南大学,岭南大学
广东技术师范学院,广东技术师范大学
广东药学院,广东药科大学
广东财经大学华商学院,广州华商学院
广西师范学院,广西师范大学
广西工学院,广西科技大学
美国康奈尔大学,康奈尔大学
徐州医学院,徐州医科大学
成都信息工程学院,成都信息工程大学
四川师范大学文理学院,成都文理学院
河南科技学院新科学院,新乡工程学院
澳大利亚新南威尔士大学,新南威尔士大学
新疆大学智能制造现代产业学院,新疆大学
景德镇陶瓷学院,景德镇陶瓷大学
核工业研究生部,核工业学院
英国格拉斯哥大学,格拉斯哥大学
桂林电子工业学院,桂林电子科技大学
武汉大学测绘遥感信息工程国家重点实验室,武汉大学
武汉科技学院,武汉纺织大学
武汉工业学院,武汉轻工大学
淮海工学院,江苏海洋大学
江西中医学院,江西中医药大学
河海大学常州校区,河海大学(常州)
河海大学（常州校区）,河海大学(常州)
浙江科技学院,浙江科技大学
浙江财经学院,浙江财经大学
海南医学院,海南医科大学
深圳清华大学研究院,清华大学深圳国际研究生院
湖北大学数计学院,湖北大学
湖北师范学院,湖北师范大学
湖北民族学院,湖北民族大学
济南大学泉城学院,烟台科技学院
煤炭科学研究总院(上海),煤炭科学研究总院(上海分院)
煤炭科学研究总院上海分院,煤炭科学研究总院(上海分院)
煤炭科学研究总院（上海分院）,煤炭科学研究总院(上海分院)
煤炭科学研究总院（北京开采所）,煤炭科学研究总院(北京开采所)
煤炭科学研究总院（抚顺分院）,煤炭科学研究总院(抚顺分院)
煤炭科学研究总院重庆研究院,煤炭科学研究总院(重庆分院)
煤炭科学研究总院（重庆分院）,煤炭科学研究总院(重庆分院)
电信科学技术研究院（第一研究所）,电信科学技术研究院(1所)
电信科学技术第一研究所(上海),电信科学技术研究院(1所)
电信科学技术第四研究所(西安),电信科学技术研究院(4所)
电信科学技术研究院（第五研究所）,电信科学技术研究院(5所)
电信科学技术第五研究所(成都),电信科学技术研究院(5所)
石家庄铁道学院,石家庄铁道大学
罗马一大,罗马大学
国家海洋局第一海洋研究所,自然资源部第一海洋研究所
国家海洋局第二海洋研究所,自然资源部第二海洋研究所
苏州科技学院,苏州科技大学
安徽财经大学商学院,蚌埠工商学院
西北大学（美国）,西北大学(美国)
西安财经学院,西安财经大学
西藏藏医学院,西藏藏医药大学
贵州民族学院,贵州民族大学
贵州财经学院,贵州财经大学
贵州大学科技学院,贵州黔南科技学院
贵州大学明德学院,贵阳信息科技学院
赣南师范学院,赣南师范大学
江西理工大学应用科学学院,赣南科技学院
郑州机械研究所,郑州机械研究所有限公司
郑州轻工业学院,郑州轻工业大学
重庆地区地质灾害防治工程技术研究中心,重庆地质灾害防治工程技术研究中心
重庆市地质灾害防治工程技术研究中心,重庆地质灾害防治工程技术研究中心
重庆大学城市科技学院,重庆城市科技学院
重庆科技学院,重庆科技大学
重庆邮电大学移通学院,重庆移通学院
长春师范学院,长春师范大学
陕西理工学院,陕西理工大学
陕西科技非常丰富,陕西科技大学
香港中文大学（深圳）,香港中文大学(深圳)
香港城市大学（东莞）,香港城市大学(东莞)
香港科技大学（广州）,香港科技大学(广州)
黑龙江科技学院,黑龙江科技大学
